Downloaded from wid.world on 21-12-2019 at 21:54:50
Year;"sptinc_p0p50_z_US
USA
Pre-tax national income 
Bottom 50% | share | adults | equal split
";"sptinc_p99p100_z_US
USA
Pre-tax national income 
Top 1% | share
";"sptinc_p50p90_z_US
USA
Pre-tax national income 
Middle 40% | share | adults | equal split
";"sptinc_p90p100_z_US
USA
Pre-tax national income 
Top 10% | share
"
1913;;0.1884;;0.42309999
1914;;0.19329999;;0.42950001
1915;;0.18700001;;0.4219
1916;;0.20640001;;0.44389999
1917;;0.2014;;0.449
1918;;0.1895;;0.4364
1919;;0.2101;;0.45429999
1920;;0.184;;0.43439999
1921;;0.18099999;;0.46529999
1922;;0.1763;;0.45539999
1923;;0.1689;;0.43099999
1924;;0.1761;;0.4526
1925;;0.19949999;;0.47080001
1926;;0.2121;;0.47440001
1927;;0.2033;;0.46759999
1928;;0.2139;;0.47960001
1929;;0.21160001;;0.4668
1930;;0.18089999;;0.45339999
1931;;0.1503;;0.44999999
1932;;0.1391;;0.46650001
1933;;0.1516;;0.46869999
1934;;0.1715;;0.48030001
1935;;0.1736;;0.47060001
1936;;0.19239999;;0.4774
1937;;0.1904;;0.46520001
1938;;0.1719;;0.4646
1939;;0.1848;;0.47870001
1940;;0.19310001;;0.47729999
1941;;0.19490001;;0.45789999
1942;;0.1849;;0.41069999
1943;;0.1718;;0.38060001
1944;;0.14839999;;0.36199999
1945;;0.1428;;0.35820001
1946;;0.1416;;0.3721
1947;;0.14569999;;0.37079999
1948;;0.1577;;0.38909999
1949;;0.1517;;0.3836
1950;;0.1585;;0.3899
1951;;0.1494;;0.37709999
1952;;0.142;;0.3651
1953;;0.13259999;;0.3549
1954;;0.1349;;0.359
1955;;0.14129999;;0.36539999
1956;;0.1339;;0.3576
1957;;0.13169999;;0.3576
1958;;0.1247;;0.35699999
1959;;0.13070001;;0.36160001
1960;;0.1259;;0.3563
1961;;0.1245;;0.3583
1962;0.19499999;0.1257;0.44400001;0.36090001
1963;0.191;;0.4436;
1964;0.18700001;0.1292;0.44319999;0.3698
1965;0.1913;;0.44240001;
1966;0.1956;0.12639999;0.44159999;0.36289999
1967;0.20829999;0.1214;0.43889999;0.3529
1968;0.20559999;0.1242;0.4393;0.35510001
1969;0.212;0.1151;0.44670001;0.34130001
1970;0.20999999;0.1079;0.4517;0.33840001
1971;0.2035;0.1108;0.45289999;0.3436
1972;0.2013;0.1112;0.4522;0.34650001
1973;0.2027;0.1102;0.44760001;0.3497
1974;0.20730001;0.1055;0.45210001;0.3405
1975;0.2014;0.1058;0.4544;0.3441
1976;0.20290001;0.1041;0.45429999;0.34279999
1977;0.2;0.1075;0.4524;0.34760001
1978;0.199;0.1063;0.45449999;0.34650001
1979;0.2008;0.1115;0.45030001;0.34889999
1980;0.1989;0.1067;0.4587;0.34240001
1981;0.19509999;0.1105;0.45770001;0.34720001
1982;0.18960001;0.1126;0.4614;0.34900001
1983;0.1831;0.1151;0.46270001;0.35420001
1984;0.1788;0.125;0.45460001;0.36660001
1985;0.1788;0.12549999;0.45460001;0.36660001
1986;0.17659999;0.1221;0.45860001;0.36469999
1987;0.1726;0.1331;0.4513;0.3761
1988;0.16949999;0.1488;0.4411;0.38949999
1989;0.1693;0.1446;0.44400001;0.3867
1990;0.168;0.1454;0.44479999;0.38710001
1991;0.1662;0.1389;0.4483;0.3856
1992;0.1583;0.15009999;0.44389999;0.3978
1993;0.15899999;0.1464;0.44549999;0.39559999
1994;0.1578;0.1469;0.44369999;0.39860001
1995;0.1538;0.15279999;0.43959999;0.4066
1996;0.1508;0.15970001;0.4337;0.41549999
1997;0.1486;0.1663;0.4287;0.42269999
1998;0.14910001;0.1692;0.42460001;0.42629999
1999;0.1477;0.1771;0.4188;0.43349999
2000;0.1461;0.18269999;0.41499999;0.43880001
2001;0.1495;0.1727;0.42250001;0.428
2002;0.14820001;0.1706;0.42449999;0.42730001
2003;0.1452;0.17200001;0.4262;0.4287
2004;0.1419;0.1832;0.41909999;0.43900001
2005;0.1384;0.1937;0.41100001;0.4506
2006;0.1354;0.20100001;0.40439999;0.4603
2007;0.1374;0.1987;0.40470001;0.458
2008;0.1371;0.1952;0.40979999;0.4531
2009;0.13590001;0.18539999;0.42070001;0.4434
2010;0.1303;0.198;0.4122;0.45750001
2011;0.12729999;0.19599999;0.41350001;0.45919999
2012;0.1238;0.2078;0.4048;0.47139999
2013;0.1277;0.19589999;0.4091;0.4632
2014;0.12549999;0.20200001;0.40439999;0.4702
