"date","FL152090005.Q","FL152090006.Q","FL152000005.Q","FL152000006.Q","FL154190005.Q","FL154190006.Q","LM152010005.Q","LM152010006.Q","FL154090005.Q","FL154090006.Q","FL153165105.Q","FL153165106.Q","FL153166000.Q","FL153166006.Q","FL154199005.Q","FL154199006.Q","LM155035015.Q","LM155035016.Q","LM155111005.Q","LM155111006.Q","LM162010005.Q","LM162010006.Q","FL154000025.Q","FL154000026.Q","LM153064105.Q","LM153064106.Q","LM153064175.Q","LM153064176.Q","FL594190045.Q","FL594190046.Q","LM152090205.Q","LM152090206.Q","FL153099005.Q","FL153099006.Q","FC152090005.Q","FC153064475.Q","FC155035005.Q","FC152090045.Q","FA156012005.Q"
"2018:Q3",109038604,699.90,124933920,801.93,15895316,102.03,35114658,225.39,89819262,576.53,10266647,65.90,3922814,25.18,1705855,10.95,25628491,164.50,5474543,35.14,4011624,25.75,12527749,80.41,18982733,121.85,12435382,79.82,15439807, 99.11,13058120, 83.82,17375471,111.53, 2069943, 1219995,  245106, 604843,15579174
"2018:Q2",106968661,693.19,122696106,795.10,15727445,101.92,34794925,225.48,87901181,569.62,10176114,65.94,3849092,24.94,1702239,11.03,25330092,164.15,5410468,35.06,4054365,26.27,12538533,81.25,18245145,118.23,11952975,77.46,15353599, 99.50,12957555, 83.97,16853374,109.21, 2277472,  931473,  531063, 814936,15431444
"2018:Q1",104691189,684.74,120295001,786.80,15603812,102.06,34197606,223.67,86097395,563.13,10106925,66.11,3806794,24.90,1690093,11.05,24966690,163.30,5354431,35.02,3876485,25.35,12437200,81.35,17493568,114.42,11773080,77.00,15267451, 99.86,12597391, 82.39,16528706,108.11, 1327268, -301281,  393772,1234776,15289163
"2017:Q4",103363922,687.62,118929104,791.16,15565182,103.55,33735310,224.42,85193794,566.74,10070393,66.99,3826437,25.46,1668352,11.10,24533483,163.21,5294128,35.22,3907699,26.00,12163939,80.92,17740555,118.02,11827373,78.68,15181314,100.99,12520909, 83.29,15759703,104.84, 2595918, 1478594,  530819, 586505,15032156
"2017:Q3",100768004,678.73,116124154,782.16,15356150,103.43,33158601,223.34,82965553,558.82, 9992711,67.31,3752162,25.27,1611277,10.85,24102457,162.34,5256519,35.41,3799625,25.59,12036264,81.07,16782188,113.04,11307147,76.16,15094668,101.67,12231579, 82.39,15513708,104.49, 2043220, 1135713,  443986, 463522,14846605
"2017:Q2", 98724784,671.28,113942272,774.75,15217488,103.47,32675865,222.18,81266407,552.57, 9908591,67.37,3694536,25.12,1614361,10.98,23721715,161.30,5226448,35.54,3727702,25.35,11861760,80.65,16124376,109.64,10829246,73.63,15005237,102.03,12018376, 81.72,15427411,104.90, 1411635,  825116,  488239,  98280,14706980
"2017:Q1", 97313148,666.55,112359550,769.61,15046402,103.06,32162799,220.30,80196751,549.31, 9827095,67.31,3639230,24.93,1580077,10.82,23340986,159.87,5208965,35.68,3612848,24.75,11994113,82.15,15597725,106.84,10530781,72.13,14915518,102.16,11729362, 80.34,15429253,105.68, 2114966, 1306452,  316728, 491785,14599565
"2016:Q4", 95198183,662.60,110199294,767.01,15001111,104.41,31779332,221.19,78419962,545.82, 9784808,68.10,3643655,25.36,1572648,10.95,22991726,160.03,5149262,35.84,3638344,25.32,11824778,82.30,14849506,103.36, 9972547,69.41,14825892,103.19,11669790, 81.22,15277448,106.33, 2001242,  550647,  449460,1001135,14367463
"2016:Q3", 93196941,656.23,108089745,761.09,14892804,104.86,31293228,220.34,76796517,540.75, 9728161,68.50,3573324,25.16,1591319,11.20,22581993,159.01,5120694,36.06,3590541,25.28,11635543,81.93,14373164,101.21, 9898242,69.70,14734990,103.75,11504244, 81.00,14650334,103.16, 2350602,  889141,  551621, 909839,14201950
"2016:Q2", 90846339,644.88,105544777,749.22,14698439,104.34,30705622,217.97,74839155,531.25, 9647754,68.49,3488476,24.76,1562209,11.09,22203348,157.61,5091610,36.14,3410664,24.21,11318521,80.35,13792019, 97.90, 9590246,68.08,14644301,103.95,11142764, 79.10,14351305,101.87,  820125,  522963,  354677, -57515,14087369
