,Inflação,gZ,Taxa Própria,Taxa de juros
1992-03-31,0.0029982641628527595,0.06551655448625789,0.12041691114790262,0.0898
1992-06-30,0.0007473253618628384,0.052721558552272695,0.11480161135109074,0.0843
1992-09-30,-0.0011922074178881692,0.007944790463313558,0.11118374675179502,0.0802
1992-12-31,0.005745166452425288,0.06304622493118793,0.10017161742104436,0.0814
1993-03-31,0.002504042986071209,0.0119424012844597,0.09522237385733773,0.075
1993-06-30,0.0048654836863195605,0.026665180955336616,0.08839220454757572,0.07339999999999999
1993-09-30,0.0071722637943087975,0.055476659811267,0.07827276408471755,0.0695
1993-12-31,0.006889814386343618,0.06748396438322063,0.0815632664463781,0.0713
1994-03-31,0.006727774089771765,0.031578647831328716,0.09267660608178087,0.078
1994-06-30,0.007240771503569832,0.045282757807491934,0.10290390593721732,0.08460000000000001
1994-09-30,0.00623190230391546,-0.004502884525928025,0.11113183020930248,0.0882
1994-12-31,0.00472943384422897,-0.003004754577820919,0.120637234263581,0.09179999999999999
1995-03-31,0.0038479259803494426,-0.010754630581708306,0.10789403749706657,0.08380000000000001
1995-06-30,0.0023321589837741463,-0.023570863292534605,0.09603786444881687,0.0753
1995-09-30,0.006460396039604133,0.048258440727152185,0.09018238135743503,0.0762
1995-12-31,0.005336809227515227,0.027805363676466188,0.08387098041413511,0.0711
1996-03-31,0.005589803806448579,0.0337408210548265,0.09287320135415875,0.07690000000000001
1996-06-30,0.006811574811769416,0.058084880543484166,0.10077581079079555,0.08289999999999999
1996-09-30,0.0061372669831951665,0.008316154656972203,0.0997932344940049,0.0816
1996-12-31,0.005571498901309813,-0.00671308896654844,0.09207742064414295,0.0764
1997-03-31,0.008704997313272234,0.010188207593715413,0.09198806678662085,0.0797
1997-06-30,0.007528943817032729,0.02033043995474828,0.08767002029851527,0.0758
1997-09-30,0.009023616496298681,0.01917893293396788,0.08035318927075985,0.0728
1997-12-31,0.014450732434383662,0.019200981801269133,0.06724109418719636,0.0699
1998-03-31,0.015530481295699339,0.025753885747367224,0.06689145679882094,0.0708
1998-06-30,0.015824215571027977,0.04888071966012857,0.06469478005265054,0.0696
1998-09-30,0.01572236069075994,0.04576436341911233,0.060266051099849303,0.0664
1998-12-31,0.01586240893903712,0.03690682408129709,0.06276412618054095,0.0683
1999-03-31,0.016294091639437847,0.013950212857400274,0.06426880404985301,0.0698
1999-06-30,0.018664318152879833,0.029420277758840995,0.0701185850707635,0.07629999999999999
1999-09-30,0.019676468443694306,0.017006557978764148,0.07046002336740528,0.0776
1999-12-31,0.020236587259428784,0.016304041290731694,0.07405659289823507,0.0806
2000-03-31,0.022578674917144825,0.023929666389328436,0.07288674132468793,0.0823
2000-06-30,0.022491383362055473,0.0049846803716664,0.07287536686870515,0.08220000000000001
2000-09-30,0.020234618146995453,-0.007067418976431915,0.07136564343470066,0.0788
2000-12-31,0.02437627888640681,0.010117115769562722,0.054471776243326935,0.0713
2001-03-31,0.018106015485408022,0.01959573669858853,0.06054523511503491,0.0691
2001-06-30,0.015183015183015014,0.03206576620576284,0.06786905393985071,0.0711
2001-09-30,0.017872657316619023,0.024348223046261504,0.058216180080018415,0.0672
2001-12-31,0.014249133380946688,-0.00072918279149868,0.07006652073398148,0.0716
2002-03-31,0.019244310863031355,0.035060099482928916,0.06268344078618553,0.0718
2002-06-30,0.026320445526619496,0.03441790992431882,0.04409204039238483,0.0655
2002-09-30,0.024331978820342215,0.007471102936875428,0.03958168032037383,0.0599
2002-12-31,0.022752225935453785,0.039643881610881615,0.040891947290201666,0.0593
2003-03-31,0.019848297262141656,0.04651929404133157,0.04450663191676191,0.0591
2003-06-30,0.019208457868168605,0.018807198834608862,0.0368194130089723,0.0524
2003-09-30,0.027470580696715485,0.0830264890208777,0.035426155370618474,0.059800000000000006
2003-12-31,0.02851902124069139,0.05773088402828752,0.032532015128512747,0.058499999999999996
2004-03-31,0.03483328815397102,0.03839615107846493,0.019855726294545267,0.054000000000000006
2004-06-30,0.03299210698652333,0.06381864923025418,0.0318094409297037,0.0625
2004-09-30,0.028888696104797384,0.030522728519573897,0.030519566137129583,0.0572
2004-12-31,0.03342197431573468,0.03322978469809281,0.026123827416830118,0.0581
2005-03-31,0.040713474295971164,0.04236576835390154,0.02030924219621918,0.0604
2005-06-30,0.03239054396333385,0.039909242332860494,0.02412122953019592,0.0553
2005-09-30,0.030655817186651557,0.043434807679423815,0.03061972601836352,0.0591
2005-12-31,0.02536287328765141,0.017768208840181297,0.04114069223988786,0.0622
2006-03-31,0.019108526703295547,0.006926399617773733,0.05135537011243404,0.0635
2006-06-30,-0.004653660282799454,-0.03549259207888191,0.09602830795104601,0.0678
2006-09-30,-0.003847138894792157,-0.04316510290631956,0.08676560609237244,0.06309999999999999
2006-12-31,0.007308254060293118,-0.034407822322421705,0.06640483143455367,0.061799999999999994
2007-03-31,5.973618329235819e-05,-0.03482599433516727,0.0777294809151192,0.0616
2007-06-30,-0.02113448526776507,-0.03619587491212746,0.12641091140190325,0.0667
2007-09-30,-0.014944913514773228,-0.05071642054240385,0.1091381938338728,0.0642
2007-12-31,-0.01813952964498078,-0.06195931765420695,0.11087001821687947,0.0617
2008-03-31,-0.024606101624920163,-0.062442002888563566,0.11793756031294989,0.058499999999999996
2008-06-30,-0.029584198239414272,-0.04126373366741954,0.14047975566764728,0.0645
2008-09-30,-0.028522778228884937,-0.0478421024444573,0.13085004772497077,0.060899999999999996
2008-12-31,-0.04176049002301674,-0.07577613309813472,0.14018156324910264,0.051
2009-03-31,-0.032260584283705596,-0.07303786604095225,0.11473342154019119,0.048499999999999995
2009-06-30,-0.0038474991255682545,-0.05696150325891381,0.0726866774930787,0.0542
2009-09-30,-0.0004726663785652452,0.045497402907088993,0.061715082973425615,0.0504
2009-12-31,-0.0006080012970693938,0.0054683091606717174,0.06337803514868288,0.051399999999999994
2010-03-31,-0.01406013411204865,-0.027501554162838074,0.08300268238601627,0.0499
2010-06-30,-0.0009804190434400395,0.05273077991834694,0.05745738240809937,0.046900000000000004
2010-09-30,-0.018557026483567163,-0.06530272957684263,0.0799089146220682,0.0432
2010-12-31,-0.006621960855610287,0.024248382773046258,0.06863081908292448,0.048600000000000004
2011-03-31,-0.014634455378637612,-0.0014060918910268852,0.08188796894324742,0.048600000000000004
2011-06-30,-0.0009358279219618959,0.015860791865807158,0.05485202982398954,0.0451
2011-09-30,-0.008537596888138932,0.01951430005811951,0.059065674815786035,0.0401
2011-12-31,-0.01439513046488472,0.029105122546610376,0.06727516461203524,0.0395
2012-03-31,0.009124701819086312,0.07327816034944018,0.03421024308309362,0.039900000000000005
2012-06-30,0.022638116439101408,0.013109480164901974,0.01437010957012751,0.0366
2012-09-30,0.013323311895966139,0.039255840018498106,0.022030789321382672,0.034
2012-12-31,0.018165278846826727,0.07952015385886146,0.015936724395372664,0.0335
2013-03-31,0.030603548994543095,0.06389714972547306,0.005037456655244031,0.035699999999999996
2013-06-30,0.028354416873945798,0.05412368867852504,0.016762518516666658,0.0446
2013-09-30,0.026126540908236073,0.03523913948515155,0.017711054610053064,0.0432
2013-12-31,0.017422901921132494,0.0030686993213243402,0.029776355877546644,0.044800000000000006
2014-03-31,0.013167947228830412,0.014957900785761157,0.03412804426488983,0.044000000000000004
2014-06-30,0.005842432119276042,0.03924802237258142,0.040393835118160776,0.0414
2014-09-30,0.011220820381544261,0.03698082183958891,0.0341359383150603,0.042
2014-12-31,0.013061219569528548,0.043107164861956614,0.027836481402437538,0.0387
2015-03-31,0.01062601887219028,0.028980747128538726,0.028669652869471374,0.0369
2015-06-30,0.009501719022276367,0.033741250199656604,0.03410052977943333,0.04019999999999999
2015-09-30,0.013803519985071233,0.041698236038124524,0.026815882357832173,0.038599999999999995
2015-12-31,0.015887716068911928,0.024359041099040465,0.026068620463689022,0.0401
2016-03-31,0.009416387798898196,0.04574836552890077,0.030408107635115058,0.0371
2016-06-30,0.010282156279799892,0.008090952258955342,0.02658778499910893,0.0348
2016-09-30,0.015224621466605415,0.008501586048110993,0.020049998366418346,0.0342
2016-12-31,0.016259673493943083,0.03208684572297302,0.029290518455987166,0.0432
2017-03-31,0.013018114499133482,0.04145994215407018,0.031134050657537844,0.0414
2017-06-30,0.012521449024368358,0.0069692375808285256,0.02861617314232787,0.0388
2017-09-30,0.016705667544623548,0.006265302775866928,0.023004430635588834,0.0383
2017-12-31,0.017974176635118466,0.03556432530045805,0.0233548577138386,0.039900000000000005
2018-03-31,0.01585209443326363,0.008690342622402149,0.03123890602659329,0.0444
2018-06-30,0.010329959877837025,0.007657379048116603,0.03969439340871016,0.0455
2018-09-30,0.00935008742554011,-0.0006834713226789193,0.04320050973040844,0.0472
2018-12-31,0.008886670483628789,-0.005638584369429377,0.041616316235629926,0.0455
2019-03-31,0.007459971770457985,0.003762795727463976,0.03723746183959768,0.0406
2019-06-30,0.0063647962254156365,-0.003357234812216556,0.034514076742016855,0.0373
