Decomposição da variância para InflaAAo

período   erro padrão   InflaAAo         gZ

   1       0,00787454   100,0000     0,0000 
   2        0,0164603    99,7869     0,2131 
   3        0,0251126    99,8145     0,1855 
   4        0,0336022    99,8859     0,1141 
   5        0,0411643    99,8879     0,1121 
   6        0,0477097    99,8520     0,1480 
   7        0,0532172    99,7402     0,2598 
   8        0,0578348    99,4645     0,5355 
   9        0,0618063    99,0920     0,9080 
  10        0,0652703    98,6432     1,3568 
  11        0,0684027    98,1626     1,8374 
  12        0,0713289    97,7404     2,2596 
  13        0,0741179    97,3634     2,6366 
  14        0,0768406    97,0357     2,9643 
  15        0,0795211    96,7591     3,2409 
  16        0,0821598    96,5032     3,4968 
  17        0,0847597    96,2688     3,7312 
  18        0,0873051    96,0523     3,9477 
  19        0,0897872    95,8441     4,1559 
  20        0,0922057    95,6506     4,3494 

Decomposição da variância para gZ

período   erro padrão   InflaAAo         gZ

   1         0,049299    17,2242    82,7758 
   2        0,0683005    19,2373    80,7627 
   3        0,0822913    30,2494    69,7506 
   4        0,0973962    39,8521    60,1479 
   5         0,102917    45,5933    54,4067 
   6         0,107979    50,5642    49,4358 
   7         0,111529    53,5846    46,4154 
   8         0,113456    55,0336    44,9664 
   9          0,11569    56,7349    43,2651 
  10         0,117588    58,0664    41,9336 
  11         0,119386    59,3017    40,6983 
  12         0,121697    60,8326    39,1674 
  13         0,123786    62,0974    37,9026 
  14         0,126004    63,2622    36,7378 
  15         0,128298    64,4883    35,5117 
  16         0,130387    65,4567    34,5433 
  17          0,13254    66,4187    33,5813 
  18         0,134649    67,3570    32,6430 
  19         0,136671    68,1405    31,8595 
  20         0,138742    68,9243    31,0757 
